url,routename,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 9887,RAJDHANI (A.C. Semi Sleeper),00:10,06h 10m,06:20,2.8,480,35 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 31362,RAJDHANI (A.C. Semi Sleeper),00:30,05h 30m,06:00,3.2,480,35 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 42162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:10,06h 10m,07:20,4.1,396,30 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 30710,RAJDHANI (A.C. Semi Sleeper),01:20,05h 40m,07:00,4.1,480,37 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 41510,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:30,05h 40m,07:10,4.0,396,31 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 42362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:50,06h 10m,08:00,4.3,396,33 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 1590,RAJDHANI (A.C. Semi Sleeper),02:00,05h 40m,07:40,2.7,480,37 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 30910,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),02:15,05h 40m,07:55,3.1,533,41 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 1571,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",02:40,06h 05m,08:45,3.6,396,23 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 5966,RAJADHANI AC (CONVERTED METRO LUXURY),03:20,06h 05m,09:25,3.4,480,34 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 42762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:30,06h 10m,09:40,4.1,396,31 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 41931,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:10,05h 00m,09:10,4.4,396,33 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 7621,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:15,05h 15m,09:30,4.5,396,31 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 42962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:30,06h 10m,10:40,2.6,396,32 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 1887,RAJDHANI (A.C. Semi Sleeper),05:00,04h 30m,09:30,3.0,480,30 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 43162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:10,06h 10m,11:20,3.6,396,33 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 43362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:50,06h 05m,11:55,3.9,396,32 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 1549,RAJADHANI AC (CONVERTED METRO LUXURY),06:00,05h 40m,11:40,2.8,480,36 Seats available
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,TSRTC - 40577,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:30,04h 50m,11:20,3.7,396,29 Seats available
