url,routename,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Bihar state road transport corporation (BSRTC) - 142944,Non AC Seater (2+2),06:00,05h 00m,11:00,3.7,285,28 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,06h 05m,12:35,3.1,331,31 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,06h 00m,03:40,3.0,350,61 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,3.6,550,54 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:00,05h 30m,12:30,1.0,405,42 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:12,05h 18m,12:30,1.0,405,42 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:20,05h 10m,12:30,1.0,405,42 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:25,05h 20m,12:45,1.0,405,42 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:32,05h 18m,12:50,1.0,405,42 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:37,05h 23m,13:00,1.0,405,42 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:12,05h 18m,13:30,1.0,416,42 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:41,05h 09m,13:50,1.0,416,42 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,06h 30m,16:00,2.7,500,60 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Vivek Travels,A/C Seater (2+2),13:25,07h 00m,20:25,N/A,450,45 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Vivek Travels,A/C Seater / Sleeper (2+2),13:30,07h 00m,20:30,N/A,400,72 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,2.4,450,6 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,05h 20m,04:00,2.7,405,28 Seats available
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Sri Krishna Rath,A/C Seater / Sleeper (2+2),21:00,04h 30m,01:30,N/A,1169,62 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Bihar state road transport corporation (BSRTC) - 152154,Volvo AC Seater 2+2,16:30,16h 00m,08:30,2.9,1020,26 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Bihar state road transport corporation (BSRTC) - 117799,Volvo A/C Sleeper (2+1),19:10,16h 49m,11:59,3.3,1500,15 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Panwar tour and Travels,A/C Seater / Sleeper (2+1),15:40,17h 50m,09:30,2.2,1999,34 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,14h 30m,10:50,1.9,1899,38 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Baba Khatushyam Travels Pvt Ltd,A/C Seater / Sleeper (3+1),19:00,16h 49m,11:49,1.4,1199,53 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Rajdhani Express,A/C Seater / Sleeper (2+2),15:00,16h 00m,07:00,1.0,1899,30 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Singh Express Bus Service,A/C Seater / Sleeper (2+2),15:00,19h 00m,10:00,1.0,1599,20 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Panwar tour and Travels,A/C Seater / Sleeper (2+1),15:40,16h 50m,08:30,2.2,2199,34 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 55m,08:10,1.2,2249,30 Seats available
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),17:35,14h 55m,08:30,1.2,2249,14 Seats available
