url,routename,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,08h 10m,06:10,4.5,699,29 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,4.4,750,23 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SAAM BUS,VE A/C Sleeper (2+1),20:10,10h 35m,06:45,4.5,900,19 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,AdSam Tourist,NON AC Seater / Sleeper 2+1,22:05,09h 00m,07:05,3.6,599,27 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,4.2,799,39 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,P K Travels,A/C Sleeper (2+1),18:45,11h 45m,06:30,4.3,1000,16 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,DLT BUS,A/C Sleeper (2+1),22:30,09h 00m,07:30,4.1,1100,21 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,3.8,1250,23 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,NS Transports,NON A/C Sleeper (2+1),21:45,08h 25m,06:10,4.1,900,14 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,08h 30m,05:30,4.1,999,20 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,DA Transports,A/C Sleeper (2+1),21:45,09h 15m,07:00,3.7,899,25 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,08h 15m,06:30,3.8,800,23 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SKS Tours & Travels,A/C Sleeper (2+1),21:15,08h 30m,05:45,4.4,899,20 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,09h 05m,07:05,3.4,999,19 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,09h 30m,06:00,3.4,750,26 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,10h 30m,07:30,4.1,700,35 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,P K Travels,Non A/C Seater / Sleeper (2+1),18:45,10h 30m,05:15,3.7,799,17 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,A1 Travels,A/C Seater / Sleeper (2+1),21:45,09h 15m,07:00,3.9,700,39 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,National travels and logistics,NON A/C Sleeper (2+1),22:45,07h 45m,06:30,3.7,749,19 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,08h 30m,06:30,3.1,800,20 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Vijay Lines,A/C Seater / Sleeper (2+1),22:20,08h 40m,07:00,3.9,555,26 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 45m,06:45,2.6,600,38 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Bharathi Travels,A/C Sleeper (2+1),02:30,07h 30m,10:00,5.0,890,16 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),02:30,07h 30m,10:00,2.3,800,19 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,National travels and logistics,A/C Sleeper (2+1),22:45,08h 15m,07:00,3.0,899,22 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,1.0,650,24 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),03:00,08h 00m,11:00,1.3,1700,13 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,DA Transports,A/C Sleeper (2+1),21:45,09h 15m,07:00,3.7,2999,32 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,FAST LINE BUS,A/C Sleeper (2+1),21:15,09h 00m,06:15,3.5,2699,34 Seats available
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,P K Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,3.8,900,25 Seats available
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Holy Maria Travels,A/C Semi Sleeper (2+2),00:10,04h 00m,04:10,3.6,700,21 Seats available
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Holy Maria Travels,A/C Semi Sleeper (2+2),00:10,04h 00m,04:10,3.6,700,40 Seats available
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Madhavi Travels,A/C Semi Sleeper (2+2),00:15,06h 00m,06:15,4.1,549,1 Seat available
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Greenline kerala,A/C Seater Push Back (2+2),00:55,05h 40m,06:35,3.3,590,25 Seats available
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Madhavi Travels,A/C Sleeper (2+1),01:30,04h 30m,06:00,3.9,799,1 Seat available
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,UFO Bus,A/C Sleeper (2+1),19:20,0-14h 0-50m,05:30,3.6,800,1 Seat available
