url,routename,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 34333,LAHARI A/C SLEEPER CUM SEATER,00:50,04h 10m,05:00,3.6,389,19 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8949,RAJDHANI (A.C. Semi Sleeper),01:15,03h 55m,05:10,3.6,389,9 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8885,Lahari Non A/C Sleeper Cum Seater,01:15,04h 00m,05:15,4.3,320,3 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8653,RAJADHANI AC (CONVERTED METRO LUXURY),03:00,04h 00m,07:00,4.1,389,21 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8631,RAJADHANI AC (CONVERTED METRO LUXURY),03:30,04h 00m,07:30,3.3,389,30 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8611,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:40,04h 10m,08:50,3.7,320,7 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8694,RAJADHANI AC (CONVERTED METRO LUXURY),05:00,04h 00m,09:00,3.2,389,25 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 1321,LAHARI A/C SLEEPER CUM SEATER,05:40,03h 40m,09:20,3.4,389,18 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64959,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:40,04h 30m,10:10,4.5,320,21 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64187,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:45,04h 45m,10:30,3.4,320,25 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8633,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:45,04h 10m,10:55,3.8,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64016,RAJDHANI (A.C. Semi Sleeper),07:00,04h 00m,11:00,3.6,389,32 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64826,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:10,04h 20m,11:30,4.8,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 1954,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),07:25,03h 35m,11:00,3.6,389,33 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8709,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:30,04h 30m,12:00,4.0,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8659,RAJDHANI (A.C. Semi Sleeper),08:00,04h 00m,12:00,3.8,389,30 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64839,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:30,04h 30m,13:00,4.0,320,23 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64000,RAJADHANI AC (CONVERTED METRO LUXURY),09:00,04h 00m,13:00,3.1,389,36 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 7648,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:30,04h 30m,14:00,4.2,320,33 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:30,04h 30m,14:00,3.6,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8978,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:40,03h 55m,13:35,4.4,320,30 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8921,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:45,04h 45m,14:30,3.6,320,30 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8647,RAJDHANI (A.C. Semi Sleeper),10:00,04h 00m,14:00,3.9,389,32 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64824,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:30,04h 20m,14:50,2.0,320,30 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8968,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:35,04h 35m,15:10,3.3,320,28 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8726,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:40,04h 30m,15:10,2.1,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8847,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:10,04h 20m,15:30,4.1,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:15,04h 00m,15:15,4.0,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 34339,RAJDHANI (A.C. Semi Sleeper),11:20,04h 10m,15:30,2.2,389,33 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8824,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:50,04h 40m,16:30,4.0,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8609,RAJADHANI AC (CONVERTED METRO LUXURY),12:00,04h 00m,16:00,3.7,389,34 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8918,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:30,04h 20m,16:50,3.5,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8982,RAJDHANI (A.C. Semi Sleeper),12:30,04h 00m,16:30,3.0,389,34 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8681,RAJADHANI AC (CONVERTED METRO LUXURY),13:00,04h 00m,17:00,3.4,389,35 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8617,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:20,04h 10m,17:30,4.9,320,28 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8736,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,04h 20m,17:50,2.7,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 8977,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:50,03h 55m,17:45,3.6,320,31 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64020,RAJDHANI (A.C. Semi Sleeper),14:00,04h 00m,18:00,3.5,389,35 Seats available
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC - 64863,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:10,04h 20m,18:30,3.6,320,31 Seats available
