url,routename,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,R S YADAV SMART BUS PRIVATE LIMITED,A/C Seater / Sleeper (2+1),23:59,05h 56m,05:55,4.2,799,33 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,New Khaira Transport,A/C Seater / Sleeper (2+1),23:45,05h 15m,05:00,3.9,750,13 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,New Khaira TPT,AC Sleeper (2+1),23:15,05h 45m,05:00,3.7,900,26 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),19:00,06h 10m,01:10,3.3,617,27 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,06h 20m,23:20,2.8,617,27 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),23:30,06h 30m,06:00,2.3,550,23 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,SHRI RAM TRAVELS,A/C Seater (2+2),11:35,05h 25m,17:00,2.6,740,18 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),23:50,07h 00m,06:50,1.9,800,24 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,Rahul Travels,AshokLeyland Stile A/C,22:30,06h 30m,05:00,2.0,826,26 Seats available
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi,SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05h 31m,05:30,3.1,705,15 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,06h 00m,04:15,4.5,799,26 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),03:30,04h 40m,08:10,3.3,554,21 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,New Khaira TPT,AC Sleeper (2+1),20:30,06h 20m,02:50,3.3,749,28 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05h 16m,05:15,3.9,740,16 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),02:20,04h 50m,07:10,2.5,600,16 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,SHRI RAM TRAVELS,A/C Seater (2+2),22:45,06h 00m,04:45,2.8,740,17 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,06h 30m,03:30,1.8,450,34 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,06h 50m,03:30,1.9,700,23 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,Rahul Travels,AshokLeyland Stile A/C,21:00,05h 30m,02:30,1.9,826,30 Seats available
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly,Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),20:30,06h 00m,02:30,1.3,549,52 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - BDV0109,Ordinary Non AC Seater 2+3,05:27,03h 23m,08:50,3.3,203,52 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - BDV0093,Ordinary Non AC Seater 2+3,05:29,03h 20m,08:49,3.3,203,52 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - BDV0463,Janrath AC Seater 2+2,05:59,03h 02m,09:01,3.3,304,36 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - BDV0097,Ordinary Non AC Seater 2+3,06:28,03h 20m,09:48,3.3,203,52 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - BDV0101,Ordinary Non AC Seater 2+3,07:00,03h 20m,10:20,3.3,203,52 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - KSN0190,Janrath AC Seater 2+3,07:45,03h 15m,11:00,3.3,291,48 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - BDV0083,Ordinary Non AC Seater 2+3,08:28,03h 20m,11:48,3.3,203,52 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - ALI0006,Janrath AC Seater 2+3,08:30,03h 30m,12:00,4.1,263,47 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - ALI0174,Janrath AC Seater 2+2,09:29,03h 01m,12:30,2.3,304,36 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - KSN0048,Janrath AC Seater 2+2,10:00,03h 40m,13:40,3.3,333,36 Seats available
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh),UPSRTC - BDV0173,Janrath AC Seater 2+2,10:29,03h 00m,13:29,3.3,304,36 Seats available
